project,api_name,pred_type,gold_type,is_type_correct,note
ctfd,POST /api/v1/hints,add,add,,
ctfd,PATCH /api/v1/teams/{team_id},update,update,,
ctfd,GET /api/v1/tags,list query,list query,,
ctfd,POST /api/v1/users/{user_id}/email,update,update,,
ctfd,GET /api/v1/users/me,query,query,,
ctfd,GET /api/v1/awards,list query,list query,,
ctfd,GET /api/v1/configs/fields/{field_id},query,query,,
ctfd,GET /api/v1/users/{user_id}/fails,query,query,,
ctfd,GET /api/v1/unlocks,list query,list query,,
ctfd,GET /api/v1/teams/me/solves,query,query,,
easyappointments,POST /admins,add,add,,
easyappointments,GET /webhooks,list query,list query,,
easyappointments,POST /services,add,add,,
easyappointments,GET /appointments/{appointmentId},query,query,,
easyappointments,POST /secretaries,add,add,,
easyappointments,GET /unavailabilities,list query,list query,,
easyappointments,DELETE /secretaries/{secretaryId},delete,delete,,
easyappointments,GET /providers/{providerId},query,query,,
easyappointments,PUT /service_categories/{serviceCategoryId},update,update,,
easyappointments,GET /settings,list query,list query,,
gin-vue-admin,POST /autoCode/mcpList,add,add,,
gin-vue-admin,POST /autoCode/getPackage,query,query,,
gin-vue-admin,PUT /sysDictionary/updateSysDictionary,update,update,,
gin-vue-admin,POST /menu/addBaseMenu,add,add,,
gin-vue-admin,GET /api/freshCasbin,update,update,,
gin-vue-admin,POST /api/ignoreApi,update,update,,
gin-vue-admin,POST /autoCode/addFunc,add,add,,
gin-vue-admin,POST /authority/getAuthorityList,list query,list query,,
gin-vue-admin,POST /user/resetPassword,update,update,,
gin-vue-admin,DELETE /sysDictionaryDetail/deleteSysDictionaryDetail,delete,delete,,
gin-vue-blog,POST /link,add,add,,
gin-vue-blog,GET /tag/option,query,query,,
gin-vue-blog,GET /link/list,list query,list query,,
gin-vue-blog,POST /page,add,add,,
gin-vue-blog,GET /role/list,list query,list query,,
gin-vue-blog,PUT /comment/review,update,update,,
gin-vue-blog,GET /about,query,query,,
gin-vue-blog,GET /category/list,list query,list query,,
gin-vue-blog,GET /role/option,query,query,,
gin-vue-blog,GET /code,query,query,,
mall-swarm,GET /home/hotProductList,list query,list query,,
mall-swarm,POST /member/attention/delete,delete,delete,,
mall-swarm,POST /order/paySuccess,update,update,,
mall-swarm,POST /member/readHistory/delete,delete,delete,,
mall-swarm,GET /sso/info,query,query,,
mall-swarm,GET /home/subjectList,list query,list query,,
mall-swarm,POST /member/readHistory/create,add,add,,
mall-swarm,POST /cart/delete,delete,delete,,
mall-swarm,GET /member/address/{id},query,query,,
mall-swarm,GET /home/recommendProductList,list query,list query,,
mall,GET /member/productCollection/list,list query,list query,,
mall,POST /order/generateConfirmOrder,add,add,,
mall,POST /member/attention/add,add,add,,
mall,POST /order/generateOrder,add,add,,
mall,GET /product/detail/{id},query,query,,
mall,POST /member/address/add,add,add,,
mall,POST /order/cancelTimeOutOrder,update,update,,
mall,POST /order/cancelOrder,update,update,,
mall,GET /sso/getAuthCode,query,query,,
mall,POST /member/readHistory/delete,delete,delete,,
newbee-mall-plus,GET /api/v1/index,list query,list query,,
newbee-mall-plus,GET /api/v1/seckill/time/now,query,query,,
newbee-mall-plus,GET /api/v1/personal,query,query,,
newbee-mall-plus,GET /api/v1/selectPayType,query,query,,
newbee-mall-plus,GET /api/v1/shop-cart,query,query,,
newbee-mall-plus,GET /api/v1/seckill/list,list query,list query,,
newbee-mall-plus,GET /api/v1/myCoupons,list query,list query,,
newbee-mall-plus,POST /api/v1/seckill/orders/{seckillSuccessId}/{userId}/{seckillSecretKey},add,add,,
newbee-mall-plus,GET /api/v1/goods/detail/{goodsId},query,query,,
newbee-mall-plus,GET /api/v1/shop-cart/settle,query,query,,
newbee_mall,PUT /manage-api/v1/adminUser/password,update,update,,
newbee_mall,GET /api/v1/address,list query,list query,,
newbee_mall,POST /manage-api/v1/categories,add,add,,
newbee_mall,GET /api/v1/shop-cart,list query,list query,,
newbee_mall,DELETE /manage-api/v1/logout,delete,delete,,
newbee_mall,GET /api/v1/goods/detail/{goodsId},query,query,,
newbee_mall,DELETE /api/v1/address/{addressId},delete,delete,,
newbee_mall,PUT /manage-api/v1/goods/status/{sellStatus},update,update,,
newbee_mall,POST /api/v1/address,add,add,,
newbee_mall,PUT /api/v1/shop-cart,update,update,,
openemr,GET /apis/default/fhir/Group/{uuid},query,query,,
openemr,GET /apis/default/portal/patient/appointment/{auuid},query,query,,
openemr,POST /apis/default/api/patient,add,add,,
openemr,GET /apis/default/fhir/Location/{uuid},query,query,,
openemr,GET /apis/default/api/patient/{puuid}/insurance/{uuid},query,query,,
openemr,GET /apis/default/api/patient/{pid}/document,query,query,,
openemr,PUT /apis/default/api/patient/{pid}/encounter/{eid}/vital/{vid},update,update,,
openemr,DELETE /apis/default/api/patient/{pid}/dental_issue/{did},delete,delete,,
openemr,GET /apis/default/api/user,query,query,,
openemr,GET /apis/default/fhir/CareTeam,query,query,,
pybbs,GET /api/settings/refreshToken,query,query,,
pybbs,PUT /api/settings,update,update,,
pybbs,PUT /api/topic,update,update,,
pybbs,DELETE /api/collect/{topicId},delete,delete,,
pybbs,POST /api/topic,add,add,,
pybbs,POST /api/login,query,query,,
pybbs,POST /api/comment,add,add,,
pybbs,GET /api/user/{username},query,query,,
pybbs,GET /api/user/{username}/comments,list query,list query,,
pybbs,POST /api/register,add,add,,
youlai-mall,DELETE /mall-oms/app-api/v1/orders/{orderId},delete,delete,,
youlai-mall,PATCH /mall-pms/api/v1/categories/{id},update,update,,
youlai-mall,PUT /mall-pms/app-api/v1/skus/lock,update,update,,
youlai-mall,GET /mall-pms/api/v1/sku/{skuId},query,query,,
youlai-mall,PUT /mall-pms/app-api/v1/skus/deduct,update,update,,
youlai-mall,POST /mall-sms/api/v1/adverts,add,add,,
youlai-mall,DELETE /mall-sms/api/v1/adverts/{ids},delete,delete,,
youlai-mall,POST /mall-ums/app-api/v1/members,add,add,,
youlai-mall,GET /mall-pms/api/v1/spu/page,list query,list query,,
youlai-mall,GET /mall-pms/app-api/v1/spu/{spuId},query,query,,
